# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at http://omim.org/help/agreement.
# Generated: 2016-05-26
# See end of file for additional documentation on specific fields
# Sort	Month	Day	Year	Cyto Location	Gene Symbols	Confidence	Gene Name	MIM Number	Mapping Method	Comments	Phenotypes	Mouse Gene Symbol
1.35	10	25	12	1p36.32	PEX10, NALD, PBD6A, PBD6B	C	Peroxisome biogenesis factor 10	602859	REc		Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3); Peroxisome biogenesis disorder 6B, 614871 (3)	
1.36	7	9	09	1p36.32	PLCH2, PLCL4	P	Phospholipase C, eta-2	612836	REc			
1.37	8	27	15	1p36.32	TPRG1L, FAM79A	P	Tumor protein p63 regulated 1-like	611460	R, REc			
1.38	4	8	03	1p36.32-p36.13	DYT13	P	Dystonia 13, torsion	607671	Fd		Dystonia 13, torsion (2)	
1.39	4	16	11	1p36.32-p35.3	KONDS	P	Kondoh syndrome (mental retardation, microcephaly, growth retardation, joint contractures, and facial dysmorphism)	606242	Fd	linked to rs966321 and rs1441834	Kondoh syndrome (2)	
1.40	10	5	11	1p36.31	GPR153	P	G protein-coupled receptor 153	614269	REc			4(Gpr153)
1.41	3	24	06	1p36.31	HES2	P	Hairy/enhancer of split, Drosophila, homolog of, 2	609970	REc			
1.42	3	24	06	1p36.31	HES3	P	Hairy/enhancer of split, Drosophila, homolog of, 3	609971	REc			
1.43	3	24	06	1p36.33	HES4	P	Hairy/enhancer of split, Drosophila, homolog of, 4	608060	REc			
1.44	3	24	06	1p36.32	HES5	P	Hairy/enhancer of split, Drosophila, homolog of, 5	607348	REc			
1.45	3	12	15	1p36.31	KLHL21, KIAA0469	C	Kelch-like 21	616262	R, REc			
1.46	4	27	16	1p36.31	RNF207, C1orf188	P	RING finger protein 207	616923	REc			
1.47	1	20	09	1p36.31	THAP3	P	THAP domain-containing protein 3	612532	REc			
1.48	11	4	93	1p36.31	RPL22, EAP	C	Ribosomal protein L22	180474	Ch, REc	fused with AML1 in t(3;21)		
1.49	9	18	12	1p36.31	DNAJC11	P	DNAJ/HSP40 homolog, subfamily C, member 11	614827	REc			
1.50	1	5	12	1p36.31-p36.13	DFNB96	P	Deafness, autosomal recessive 96	614414	Fd	between rs3817914 and rs477558	Deafness, autosomal recessive 96 (2)	
1.51	8	18	12	1p36.33	AURKAIP1, AKIP, AIP	P	Aurora kinase A-interacting protein 1	609183	R, REc			
1.52	8	2	13	1p36.33	B3GALT6, SEMDJL1, EDSP2	P	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	615291	REc		Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3); Ehlers-Danlos syndrome, progeroid type, 2, 615349 (3)	4(B3galt6)
1.53	1	27	11	1p36.33	CDK11B, CDC2L1, P58, CDK11	C	Cyclin-dependent kinase 11B	176873	REa, A, Pcm, A			
1.54	1	27	11	1p36.33	CDK11A, CDC2L2	P	Cyclin-dependent kinase 11A	116951	A			
1.55	8	4	99	1p36.32	DFFB, CAD, DFF2	C	DNA fragmentation factor, 40kD, beta subunit	601883	A			
1.56	9	11	12	1p36.33	GABRD, GEFSP5, EIG10, EJM7	C	Gamma-aminobutyric acid (GABA) A receptor, delta	137163	REa, R, REc		{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3); {Epilepsy, idiopathic generalized, 10}, 613060 (3); {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3)	
1.57	12	24	08	1p36.32	MEGF6, EGFL3	P	Multiple epidermal growth factor-like domains 6	604266	R			
1.58	6	15	99	1p36.33	TNFRSF18, AITR, GITR	P	Tumor necrosis factor receptor superfamily, member 18	603905	R			
1.59	3	30	99	1p36.31	KCNAB2, KCNA2B	P	Potassium voltage-gated channel, shaker-related subfamily, beta member 2	601142	A			
1.60	11	1	99	1p36.33	MMP23A, MMP21, MIFR	P	Matrix metalloproteinase 23A	603320	REc			
1.61	11	1	99	1p36.33	MMP23B, MMP22	P	Matrix metalloproteinase 23B	603321	REc			
1.62	1	12	11	1p36.22	MTHFR	P	Methylenetetrahydrofolate reductase	607093	A		Homocystinuria due to MTHFR deficiency, 236250 (3); {Schizophrenia, susceptibility to}, 181500 (3); {Vascular disease, susceptibility to} (3); {Neural tube defects, susceptibility to}, 601634 (3); {Thromboembolism, susceptibility to}, 188050 (3)	4(Mthfr)
1.63	9	9	13	1p36.32	PRDM16, MEL1, LVNC8, CMD1LL	P	PR domain-containing protein 16	605557	REc, Ch		Left ventricular noncompaction 8, 615373 (3); Cardiomyopathy, dilated, 1LL, 615373 (3)	
1.64	8	9	99	1p36.3	PTPRZ2	P	Protein-tyrosine phosphatase, receptor-type, zeta-2	604008	A			
1.65	1	20	98	1p36.13	RNU1A, RNU1	C	RNA, U1A small nuclear	180680	REa, A	?same as A12M2		3(Rnu1b1)
1.66	10	5	12	1p36.33-p36.32	SKI, SGS	C	Avian sarcoma viral (v-ski) oncogene homolog	164780	REa, A, Ch	formerly mapped to 1q22-q24	Shprintzen-Goldberg syndrome, 182212 (3)	
1.67	12	23	02	1p36.31	TNFRSF25, TNFRSF12, DR3, LARD	C	Tumor necrosis factor receptor superfamily, member 25	603366	A, Ch			
1.68	9	28	10	1p36.22	UBE4B, UFD2A, KIAA0684	P	Ubiquitination factor E4B	613565	REc			
1.69	4	6	13	1p36.22	UBIAD1, TERE1, SCCD	C	UbiA prenyltransferase domain-containing protein 1	611632	A, Fd		Corneal dystrophy, Schnyder type, 121800 (3)	
1.70	3	20	08	1p36.33	VWA1, WARP	P	von Willebrand factor A domain-containing protein 1	611901	REc			
1.71	6	20	01	1p36.32	WDR8	P	WD repeat-containing protein 8	606040	A			
1.72	11	22	13	1p36.31	ZBTB48, HKR3	C	Zinc finger- and BTB domain-containing protein 48	165270	REa, A			
1.73	2	6	94	1p36.12	HTR1D	C	5-hydroxytryptamine (serotonin) receptor-1D	182133	REa, A			4(Htr1d)
1.74	6	10	98	1p36.22	DFFA, DFF1	C	DNA fragmentation factor, 45kD, alpha subunit	601882	A			
1.75	3	10	11	1p36.22	MASP2	P	Mannan-binding lectin serine protease 2	605102	A, R		MASP2 deficiency, 613791 (3)	
1.76	1	4	13	1p36.22	PLOD1, LH1, LLH, EDS6	P	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	153454	REa, A		Ehlers-Danlos syndrome, type VI, 225400 (3)	4(Plod)
1.77	9	15	96	1p36.33	SCNN1D	P	Sodium channel, voltage-gated, type I, delta polypeptide	601328	A			
1.78	12	18	98	1p36.22	TNFRSF1B, TNFR2, TNFBR	C	Tumor necrosis factor receptor superfamily, member 1B	191191	REa, A, Fd			4(Tnfr1)
1.79	12	14	98	1p36.32	TNFRSF14, HVEM, TR2	P	Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	602746	A			
1.80	1	11	07	1p36.21	CASP9, APAF3	P	Caspase 9, apoptosis-related cysteine protease	602234	A			
1.81	3	16	06	1p36.31	ESPN	P	Espin, mouse, homolog of	606351	R, H		Deafness, autosomal recessive 36, 609006 (3); Deafness, neurosensory, without vestibular involvement, autosomal dominant (3)	4(espn)
1.82	2	28	08	1p36.33	MRPL20	P	Mitochondrial ribosomal protein L20	611833	R			
1.83	2	17	11	1p36.12	C1QA	C	Complement component 1, q subcomponent, A chain	120550	REa, REb		C1q deficiency, 613652 (3)	
1.84	2	17	11	1p36.12	C1QB	C	Complement component 1, q subcomponent, B chain	120570	REa, REb		C1q deficiency, 613652 (3)	(C1qb)
1.85	2	17	11	1p36.12	C1QC, C1QG	P	Complement component 1, q subcomponent, C chain	120575	REn, REb		C1q deficiency, 613652 (3)	
1.86	9	9	08	1p36.13	FBXO42, FBX42, KIAA1332	P	F-box only protein 42	609109	REc			4(Fbox42)
1.87	9	9	08	1p36.22	FBXO6, FBX6, FBG2	C	F-box only protein 6	605647	REc			4(Fbxo6)
1.88	1	8	07	1p36.13	HSPB7, CVHSP	P	Heat-shock 27kD protein 7	610692	REc			
1.89	7	18	14	1p36.23	UTS2	P	Urotensin II	604097	REc			
1.90	12	30	04	1p36.22	APITD1	P	Apoptosis-inducing, TAF9-like domain 1	609130	REa, REc			
1.91	7	17	09	1p36.22	CTNNBIP1, ICAT	P	Catenin, beta-interacting protein 1	607758	R, REc			
1.92	3	20	09	1p36.22	DRAXIN, C1orf187	P	Dorsal repulsive axon guidance protein	612682	REc			
1.93	7	27	09	1p36.22	EXOSC10, PMSCL2	P	Exosome component 10	605960	R, REc			
1.94	5	24	13	1p36.22	LZIC	P	Leucine zipper and CTNNBIP1 domains-containing protein	610458	REc			
1.95	9	25	12	1p36.22	NMNAT1, NMNAT, PNAT1, LCA9	C	Nicotinamide nucleotide adenylyltransferase 1	608700	REc		Leber congenital amaurosis 9, 608553 (3)	
1.96	9	9	08	1p36.22	PTCHD2, DISP3, KIAA1337	P	Patched domain-containing protein 2	611251	REc			
1.97	2	28	07	1p36.22	SLC25A33	P	Solute carrier family 25 (mitochondrial carrier), member 33	610816	REc			4(Slc25A33)
1.98	12	18	07	1p36.22	SPSB, SSB1	P	SPRY domain- and SOCS box-containing 1	611657	R, REc			
1.99	9	22	08	1p36.22	CASZ1, SRG	P	Castor zinc finger protein 1	609895	A, REc			4(Srg)
1.100	2	11	08	1p36.21	CTRC, CLCR	P	Chymotrypsin	601405	REc		{Pancreatitis, chronic, susceptibility to}, 167800 (3)	
1.101	7	20	15	1p36.21	EFHD2, SWS1	P	EF-hand domain family, member D2	616450	REc			
1.102	9	9	08	1p36.22	FBXO44, FBX44, FBX6A, FBG3	C	F-box only protein 44	609111	REc			4(Fbxo44)
1.103	2	28	06	1p36.21	GBD2	P	Gallbladder disease 2	609918	between D1S1597 and D1S47		Gallbladder disease 2 (2)	
1.104	5	6	13	1p36.21	LRRC38	P	Leucine-rich repeat-containing protein 38	615212	REc			
1.105	12	10	13	1p36.21	PDPN, TI1A, T1A2, GP36, OTS8, AGGRUS	P	Podoplanin	608863	REc, R			
1.106	3	12	07	1p36.21	SLC25A34	P	Solute carrier family 25, member 34	610817	REc			4(Slc25A34)
1.107	9	2	12	1p36.21	CELA2A, ELA2A	P	Chymotrypsin-like elastase family, member 2A	609443	REc, R			
1.108	9	2	12	1p36.21	CELA2B, ELA2B	P	Chymotrypsin-like elastase family, member 2B	609444	REc			
1.109	3	31	15	1p36.22	KIF1B, CMT2A, CMT2A1, NBLST1	C	Kinesin family member 1B	605995	Fd, REc, D	mutation identified in 1 CMT2A1 family	?Charcot-Marie-Tooth disease, type 2A1, 118210 (3); Pheochromocytoma, 171300 (3); {Neuroblastoma, susceptibility to, 1}, 256700 (3)	4(Kif1b)
1.110	8	7	15	1p36.22	MFN2, KIAA0214, CMT2A2, HMSN6A	C	Mitofusin 2	608507	R, REa, REc		Charcot-Marie-Tooth disease, type 2A2, 609260 (3); Hereditary motor and sensory neuropathy VIA, 601152 (3)	
1.111	11	17	15	1p36.22	MTOR, FRAP1, SKS	P	Mechanistic target of rapamycin	601231	R, A		Smith-Kingsmore syndrome, 616638 (3)	
1.112	7	8	09	1p36.13	NBPF1, KIAA1693	P	Neuroblastoma breakpoint family, member 1	610501	R, REc	pseudogenes on 3 and 5		
1.113	9	15	11	1p36.12	NBPF3	P	Neuroblastoma breakpoint family, member 3	612992	REc, A			
1.114	4	29	14	1p36.22	NPPA, PND, ANP, ATFB6, ATRST2	C	Natriuretic peptide precursor A	108780	REa, A, H		Atrial fibrillation, familial, 6, 612201 (3); Atrial standstill 2, 615745 (3)	4(Pnd)
1.115	5	9	95	1p36.22	NPPB, BNP	C	Natriuretic peptide precursor B	600295	H, REa, A, REn			4(Nppb)
1.116	10	25	12	1p36.22	PEX14, PBD13A	P	Peroxisome biogenesis factor 14	601791	R, REc		Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3)	
1.117	5	23	14	1p36.22	PIK3CD, APDS, IMD14	P	Phosphatidylinositol 3-kinase, catalytic, 110kD, delta	602839	A, R		Immunodeficiency 14, 615513 (3)	
1.118	3	12	08	1p36.2	SCZD12	P	Schizophrenia 12	608543	Fd	max lod at D1S1612	{Schizophrenia 12}, 181500 (2)	
1.119	8	4	99	1p36.23	SLC2A5, GLUT5	C	Solute carrier family 2 (facilitated glucose transporter), member 5	138230	REa, A, REc, R			
1.120	10	11	06	1p36.23	SLC2A7, GLUT7	P	Solute carrier family 2 (facilitated glucose transporter), member 7	610371	REc			
1.121	10	5	10	1p36.22	TARDBP, TDP43, ALS10	C	TAR DNA-binding protein	605078	R, REc	pseudogenes on 2, 6, 8, 13, 20	Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3); Frontotemporal lobar degeneration, TARDBP-related, 612069 (3)	4(Tardbp)
1.122	4	10	90	1p36.22	PGD	C	6-phosphogluconate dehydrogenase	172200	F, S			4(Pgd)
1.123	3	16	10	1p36.13	PAX7, RMS2	C	Paired box homeotic gene-7	167410	Psh, H, REa, A	fused with FKHR in rhabdomyosarcoma	Rhabdomyosarcoma 2, alveolar, 268220 (3)	4(Pax7)
1.124	3	24	88	1p35.3	FGR, SRC2	P	Oncogene FGR	164940	A, REb, REa, Fd	same as SRC2		4(Fgr)
1.125	9	22	97	1p36.2-p36.1	GLC3B	P	Glaucoma 3, primary infantile, B	600975	Fd		Glaucoma 3, primary infantile, B (2)	
1.126	9	7	00	1p36.23	RERE	P	RE repeats-encoding gene	605226	REc, Ch			
1.127	12	24	08	1p36.23	SLC45A1, DNB5	P	Solute carrier family 45, member 1	605763	REc			
1.128	10	3	11	1p36.13	ZBTB17, ZNF151, MIZ1	P	Zinc finger- and BTB domain-containing protein 17	604084	A			
1.129	1	1	95	1p36.12	CDA	C	Cytidine deaminase	123920	A, Psh			
1.130	2	19	08	1p35.3	EPB41, EL1	C	Erythrocyte surface protein band 4.1	130500	F, REb		Elliptocytosis-1, 611804 (3)	4(Elp1)
1.131	5	4	12	1p36.11	RHCE	C	Rhesus system C and E polypeptides	111700	F, D, Fd	?order: C-E-D	[Blood group, Rhesus], 111690 (3); Rh-null disease, amorph type (3)	
1.132	5	25	05	1p36.11	RHD	C	Rhesus system D polypeptide	111680	F, D, Fd		[Rh-negative blood type] (3)	
1.133	5	23	12	1p36.13	AKR7A2, AKR7, AFAR	P	Aldo-keto reductase family 7, member A2	603418	REn	pseudogenes on Xq25 and 1p12		
1.134	8	8	13	1p36.13	AKR7A3, AFAR2	P	Aldo-keto reductase family 7, member A3	608477	REc, A			
1.135	8	8	13	1p36.13	AKR7A4, AFAR3	P	Aldo-keto reductase family 7, member A4	608478	REc, A			
1.136	12	22	08	1p36.13	ARHGEF10L, GRINCHGEF, KIAA1626	P	RHO guanine nucleotide exchange factor 10-like protein	612494	REc			
1.137	12	22	08	1p36.13	ARHGEF19, WGEF	P	RHO guanine nucleotide exchange factor 19	612496	REc			4(Arhgef19)
1.138	10	13	15	1p36.12	ASAP3, UPLC1, CENTB6, DDEFL1, ACAP4	P	ARF GTPase-activating protein with SH3 domain, ankyrin repeat, and PH domain 3	616594	REc			
1.139	3	30	16	1p36.13	EMC1, KIAA0090, CAVIPMR	P	Endoplasmic reticulum membrane protein complex, subunit 1	616846	Psh		Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3)	
1.140	7	17	09	1p36.21	FBLP1, MIGFILIN	P	Filamin-binding LIM protein 1	607747	REc			
1.141	9	28	15	1p36.13	MINOS1, MIO10, MIC10	P	Mitochondrial inner membrane organizing system protein 1	616574	REc			
1.142	2	18	08	1p36.13	NECAP2	P	NECAP endocytosis-associated protein 2	611624	R, REc			
1.143	1	28	08	1p36.13	OTUD3, KIAA0459	P	OTU domain-containing protein 3	611758	R, REc			
1.144	1	16	07	1p36.13	PADI1	C	Peptidylarginine deiminase, type I	607934	REc, REn			
1.145	1	16	07	1p36.13	PADI2	C	Peptidylarginine deiminase, type II	607935	REc, REn			
1.146	1	16	07	1p36.13	PADI3	P	Peptidylarginine deiminase, type III	606755	REc, REN			
1.147	1	16	07	1p36.13	PADI4, PADI5, PAD	C	Peptidylarginine deiminase, type IV	605347	REc, REn		{Rheumatoid arthritis, susceptibility to}, 180300 (3)	
1.148	8	21	12	1p36.13	PQLC2	P	PQ loop repeat-containing protein 2	614760	REc			
1.149	9	30	10	1p36.21-p36.13	SPEN, MINT, SHARP, HIAA0929	P	SPEN, Drosophila, homolog of	613484	REc			
1.150	7	22	14	1p36.13	UBR4, ZUBR1, RBAF600, KIAA1307	P	Ubiquitin protein ligase E3 component n-recognin 4	609890	R, REc			
1.151	9	22	08	1q21.2	APH1A	P	Anterior pharynx defective 1, C. elegans, homolog of, A	607629	R, REc			
1.152	1	11	95	1p36.12	ID3	C	Inhibitor of DNA binding 3, dominant negative, helix-loop-helix protein	600277	RE, A			
1.153	10	24	97	1p36.13	D1S1733E, DAN	P	Differential-screening-selected gene aberrant in neuroblastoma	600613	A	aberrant in some neuroblastomas		4(D4H1S1733E)
1.154	1	29	16	1p36.11	MAN1C1	P	Mannosidase, alpha, class 1C, member 1	616772	REc			
1.155	1	3	05	1p36.13-p34.3	ANIB3	P	Aneurysm, intracranial berry, 3	609122	Fd		Aneurysm, intracranial berry, 3 (2)	
1.156	10	24	14	1p36.13-p34.3	EA8	P	Episodic ataxia, type 8	616055	Fd	between rs2743201 and rs215791	Episodic ataxia, type 8 (2)	
1.157	8	23	09	1p36.12	B6QTL1	P	Vitamin B6 plasma level QTL 1	612957	Fd	associated with rs4654748	{Vitamin B6 plasma level QTL 1} (2)	
1.158	1	9	13	1p36.12	CAMK2N1	P	Calcium/calmodulin-dependent protein kinase II inhibitor 1	614986	REc			
1.159	8	18	14	1p36.12	EIF4G3, EIF4GII	P	Eukaryotic translation initiation factor 4-gamma, 3	603929	REc			
1.160	7	17	09	1p36.12	EPHA8, EEK, HEK3	P	Ephrin receptor EphA8 (eph- and elk-related kinase)	176945	REa, REc			
1.161	11	3	14	1p36.12	HP1BP3, HP1BP74	P	Heterochromatin protein 1-binding protein 3	616072	REc			
1.162	3	3	16	1p36.12	KDM1A, LSD1, AOF2, BHC110, KIAA0601, CPRF	P	Lysine-specific demethylase 1A	609132	R, REc		Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3)	
1.163	7	20	12	1p36.12	KIF17, KIAA1405	P	Kinesin family member 17	605037	REc			
1.164	4	27	09	1p36.12	MUL1, MULAN, C1orf166	P	Mitochondrial ubiquitin ligase activator of NFKB1	612037	REc			
1.165	3	1	01	1p36.12	PLA2G2D, SPLASH	C	Phospholipase A2, group IID	605630	R			4(Pla2g2d)
1.166	5	25	13	1p36.12	TCEA3	P	Transcription elongation factor A, 3	604128	REc			
1.167	2	2	16	1p36.12	UBXN10	P	UBX domain protein 10	616783	REc			
1.168	4	5	11	1p36.12-p35.1	BFIS4, BFIC4	P	Seizures, benign familial infantile, 4	612627	Fd	between D1S2864 and D1S2830	Seizures, benign familial infantile, 4 (2)	
1.169	7	7	14	1p36.1-p35.3	AHDC1, MRD25	P	AT-hook DNA-binding motif-containing protein 1	615790	REc		Xia-Gibbs syndrome, 615829 (3)	
1.170	7	20	12	1p36.11	CD52, CDW52	P	CD52 molecule	114280	REc			
1.171	2	25	15	1p36.11	CNKSR1, CNK1	P	Connector enhancer of KSR 1	603272	R, REc			
1.172	6	22	14	1p36.13	CROCC, ROOTLETIN, KIAA0445	P	Ciliary rootlet coiled-coil protein	615776	REc			
1.173	4	6	11	1p36.11	DHDDS, HDS, RP59	P	Dehydrodolichyl diphosphate synthase	608172	REc		Retinitis pigmentosa 59, 613861 (3)	
1.174	4	6	11	1p36.11	FCN3, HAKA1	P	Ficolin 3	604973	R, REc		Immunodeficiency due to ficolin 3 deficiency, 613860 (3)	
1.175	3	11	14	1p36.11	GRHL3, SOM, TFCP2L4, VWS2	C	Grainyhead-like 3	608317	REc, Fd		Van der Woude syndrome 2, 606713 (3)	
1.176	10	7	02	1p36.12	HNRPR, HNRNPR	P	Heterogeneous nuclear ribonucleoprotein R	607201	R			
1.177	2	11	13	1p36.11	IFNLR1, IL28RA	P	Interferon, lambda receptor 1	607404	REc			
1.178	4	27	09	1p36.11	LIN28, LIN28A	P	Lin28, C. elegans, homolog of	611043	REc, H			4(Lin28)
1.179	12	30	14	1p36.11	LYPLA2, APT2	P	Lysophospholipase II	616143	REc			
1.180	2	8	12	1p36.11	MAP3K6, MAPKKK6, ASK2	P	Mitogen-activated protein kinase kinase kinase 6	604468	REc			
1.181	2	23	16	1p36.11	MYOM3	P	Myomesin 3	616832	REc			4(Myom3)
1.182	8	19	13	1p36.11	NUDC	P	Nuclear distribution gene C, A. nigulans, homolog of	610325	REc, A			
1.183	4	29	14	1p36.11	PAFAH2	P	Platelet-activating factor acetylhydrolase 2	602344	REc			
1.184	7	17	09	1p36.11	PAQR7, MPRA, PGLP	P	Progestin and ADIPOQ receptor family, member 7	607779	REc			
1.185	8	20	12	1p36.11	PIGV, HPMRS1	P	Phosphatidylinositol glycan, class V	610274	REc		Hyperphosphatasia with mental retardation syndrome 1, 239300 (3)	
1.186	3	11	08	1p36.11	PNRC2	P	Proline-rich nuclear receptor coactivator 2	611882	REc			
1.187	7	19	12	1p36.11	SFN	P	Stratifin	601290	REc			
1.188	3	7	14	1p36.11	SH3BGRL3	C	SH3 domain-binding glutamic acid-rich protein-like protein 3	615679	REc, A			
1.189	1	17	13	1p36.11	SLC30A2, ZNT2, TNZD	P	Solute carrier family 30 (zinc transporter), member 2	609617	REc		Zinc deficiency, transient neonatal, 608118 (3)	4(Slc30a2)
1.190	7	27	09	1p36.11	SRRM1, SRM160	P	Serine/arginine repetitive matrix 1 (ser/arg-related nuclear matrix protein, 160kD)	605975	R, REc			
1.191	7	18	14	1p36.11	STPG1, MAPO2, C1orf201	P	Sperm-tail PG-rich repeat-containing protein 1	615826	REc			4(Stpg1)
1.192	7	17	09	1p36.11	SYF2, P29	P	SYF2 RNA splicing factor, S. cerevisiae, homolog of	607090	R, REc			
1.193	2	14	08	1p36.11	SYTL1, SLP1, JFC1	P	Synaptotagmin-like protein 1	608042	R, REc			
1.194	6	22	14	1p36.11	TMEM50A, SMP1	P	Transmembrane protein 50A	605348	REc	between RHD and RHCE		
1.195	5	24	13	1p36.11	TMEM57, FLJ10747	C	Transmembrane protein 57	610301	REc, H			4(Tmem57)
1.196	2	10	14	1p36.11	TRIM63, RNF28, SMRZ, MURF1	P	Tripartite motif containing 63	606131	A			
1.197	2	19	16	1p36.11	TRNP1	P	TMF1-regulated nuclear protein 1	616824	REc			
1.198	5	29	15	1p36.11	UBXN11, SOC	P	UBX domain protein 11	609151	REc			
1.199	12	22	15	1p36.11	ZNF593, ZT86	P	Zinc finger protein 593	616698	REc			
1.200	1	29	16	1p36.11	ZNF683, HOBIT	P	Zinc finger protein 683	616775	REc			
1.201	4	24	01	1p36.11	WASF2, WAVE2, SCAR2	P	Wiskott-Aldrich syndrome protein family, member 2	605875	REc	?pseudogene on Xp11.21		
1.202	8	28	97	1p36.13	CAPZB, CAPPB	P	Capping protein (actin filament) muscle Z-line, beta	601572	A			
